planter_id,capture_id_a,capture_id_b,distance_m,minutes_apart
1,cap_burst_5,cap_burst_9,10.7,4.0
15,cap_1610,cap_1610_dup,0.0,0.0
45,cap_2745,cap_2745_dup,0.0,1.0
58,cap_6977,cap_6977_dup,0.0,0.0
62,cap_7169,cap_7169_dup,0.0,1.0
64,cap_1907,cap_1907_dup,0.0,2.0
66,cap_3611,cap_3611_dup,0.0,1.0
70,cap_1576,cap_1576_dup,0.0,1.0
78,cap_1532,cap_1532_dup,0.0,2.0
82,cap_7535,cap_7535_dup,0.0,1.0
113,cap_4625,cap_4625_dup,0.0,2.0
129,cap_1578,cap_1578_dup,0.0,0.0
132,cap_5529,cap_5529_dup,0.0,1.0
153,cap_5451,cap_5451_dup,0.0,1.0
154,cap_1548,cap_1548_dup,0.0,2.0
156,cap_3258,cap_3258_dup,0.0,1.0
161,cap_6294,cap_6294_dup,0.0,1.0
171,cap_444,cap_444_dup,0.0,2.0
171,cap_3491,cap_3491_dup,0.0,2.0
194,cap_74,cap_74_dup,0.0,1.0
229,cap_1185,cap_1185_dup,0.0,2.0
230,cap_4941,cap_4941_dup,0.0,0.0
232,cap_3026,cap_3026_dup,0.0,0.0
233,cap_1829,cap_1829_dup,0.0,1.0
233,cap_2164,cap_2164_dup,0.0,0.0
237,cap_2857,cap_2857_dup,0.0,0.0
262,cap_4998,cap_4998_dup,0.0,1.0
262,cap_2495,cap_2495_dup,0.0,1.0
300,cap_4205,cap_4205_dup,0.0,2.0
301,cap_3152,cap_3152_dup,0.0,2.0
307,cap_1307,cap_1307_dup,0.0,0.0
318,cap_4740,cap_4740_dup,0.0,0.0
322,cap_5606,cap_5606_dup,0.0,0.0
350,cap_307,cap_307_dup,0.0,1.0
356,cap_3104,cap_3104_dup,0.0,2.0
369,cap_5167,cap_5167_dup,0.0,0.0
378,cap_103,cap_103_dup,0.0,0.0
378,cap_4824,cap_4824_dup,0.0,0.0
384,cap_2600,cap_2600_dup,0.0,0.0
387,cap_7537,cap_7537_dup,0.0,1.0
392,cap_5401,cap_5401_dup,0.0,1.0
402,cap_2567,cap_2567_dup,0.0,0.0
410,cap_5979,cap_5979_dup,0.0,2.0
413,cap_6370,cap_6370_dup,0.0,0.0
414,cap_1909,cap_1909_dup,0.0,0.0
414,cap_537,cap_537_dup,0.0,0.0
418,cap_6099,cap_6099_dup,0.0,2.0
420,cap_2008,cap_2008_dup,0.0,1.0
438,cap_5170,cap_5170_dup,0.0,1.0
443,cap_2192,cap_2192_dup,0.0,2.0
444,cap_958,cap_958_dup,0.0,1.0
445,cap_4194,cap_4194_dup,0.0,1.0
448,cap_4828,cap_4828_dup,0.0,1.0
457,cap_5228,cap_5228_dup,0.0,1.0
457,cap_3247,cap_3247_dup,0.0,2.0
459,cap_2932,cap_2932_dup,0.0,1.0
462,cap_3371,cap_3371_dup,0.0,1.0
476,cap_6696,cap_6696_dup,0.0,1.0
478,cap_3228,cap_3228_dup,0.0,1.0
491,cap_5511,cap_5511_dup,0.0,2.0
497,cap_644,cap_644_dup,0.0,2.0
