capture_id,planter_id,captured_at,lat,lon,species,country_name,verification_status,survived
cap_0,79,2023-02-27 17:29:00,8.445409,-13.30816,Rhizophora mucronata (Red Mangrove),Sierra Leone,verified,1
cap_1,409,2023-02-13 18:40:00,17.176577,-88.534847,Mango,Belize,verified,1
cap_2,262,2024-01-14 20:01:00,20.549832,78.853501,Moringa,India,verified,1
cap_3,307,2023-01-08 08:27:00,3.823636,11.474384,Acacia,Cameroon,verified,1
cap_4,485,2024-07-12 03:57:00,1.429407,32.316837,Cashew,Uganda,verified,1
cap_5,316,2024-01-22 14:36:00,8.509129,-13.197182,Moringa,Sierra Leone,unverified,0
cap_6,363,2024-09-04 15:27:00,8.432675,-13.255786,Acacia,Sierra Leone,unverified,0
cap_7,101,2024-06-27 10:48:00,-1.186874,36.766623,Acacia,Kenya,verified,1
cap_8,375,2024-06-16 11:09:00,1.366018,32.312619,Neem,Uganda,verified,1
cap_9,412,2023-09-04 02:10:00,12.870643,121.819286,Rhizophora mucronata (Red Mangrove),Philippines,verified,1
cap_10,404,2024-04-21 04:24:00,20.549731,78.989822,Acacia,India,unverified,1
cap_11,134,2024-01-30 15:42:00,-1.340327,36.876994,Acacia,Kenya,verified,1
cap_12,213,2024-08-10 07:55:00,20.626838,78.931652,Mahogany,India,verified,1
cap_13,277,2024-06-29 00:40:00,3.820082,11.582052,Moringa,Cameroon,verified,1
cap_14,314,2024-10-23 04:32:00,3.792893,11.600744,Neem,Cameroon,unverified,1
cap_15,350,2023-09-29 18:09:00,12.881898,121.776777,Moringa,Philippines,verified,1
cap_16,156,2024-10-21 02:03:00,12.833843,121.795191,Rhizophora mucronata (Red Mangrove),Philippines,unverified,1
cap_17,343,2024-03-17 02:22:00,20.578787,78.930291,Avocado,India,verified,1
cap_18,313,2024-10-15 07:39:00,1.421434,32.224163,Rhizophora mucronata (Red Mangrove),Uganda,verified,1
cap_19,355,2023-08-07 06:46:00,1.412963,32.307309,Moringa,Uganda,verified,1
cap_20,376,2024-05-15 13:59:00,17.124317,-88.528963,Mahogany,Belize,verified,1
cap_21,30,2023-10-08 07:03:00,1.365114,32.360585,Cashew,Uganda,verified,1
cap_22,102,2023-03-24 15:46:00,20.625473,78.938226,Moringa,India,verified,1
cap_23,201,2024-09-27 23:18:00,20.640161,79.062843,Rhizophora mucronata (Red Mangrove),India,verified,0
cap_24,431,2024-03-12 11:15:00,12.806415,121.756891,Cashew,Philippines,verified,1
cap_25,265,2023-03-30 20:26:00,20.589029,78.944841,Neem,India,verified,1
cap_26,443,2023-03-09 16:27:00,3.882781,11.576386,Cashew,Cameroon,unverified,1
cap_27,125,2023-05-07 21:18:00,-1.244877,36.830723,Avocado,Kenya,verified,1
cap_28,62,2023-11-21 22:07:00,8.463503,-13.171906,Acacia,Sierra Leone,verified,1
cap_29,172,2024-04-26 12:07:00,3.863258,11.532097,Cashew,Cameroon,verified,1
cap_30,301,2024-03-13 02:53:00,12.854104,121.782052,Avocado,Philippines,verified,0
cap_31,147,2023-08-20 08:52:00,12.873128,121.817644,Moringa,Philippines,verified,0
cap_32,157,2023-12-14 08:59:00,3.920078,11.555453,Acacia,Cameroon,verified,1
cap_33,429,2023-12-27 18:30:00,20.579618,78.872501,Mahogany,India,verified,1
cap_34,153,2024-04-11 23:23:00,12.920328,121.780302,Mango,Philippines,unverified,1
cap_35,93,2023-05-22 21:54:00,17.304822,-88.525331,Cashew,Belize,verified,0
cap_36,312,2023-02-18 22:05:00,1.418133,32.408186,Rhizophora mucronata (Red Mangrove),Uganda,verified,1
cap_37,43,2023-12-07 11:43:00,-1.314248,36.858772,Mahogany,Kenya,verified,1
cap_38,310,2024-07-02 13:36:00,17.181993,-88.466433,Rhizophora mucronata (Red Mangrove),Belize,unverified,1
cap_39,277,2023-02-10 06:36:00,3.855177,11.391889,Cashew,Cameroon,verified,1
cap_40,147,2024-07-10 00:00:00,12.917905,121.765639,Cashew,Philippines,verified,1
cap_41,332,2023-04-19 21:31:00,3.867192,11.538445,Neem,Cameroon,verified,1
cap_42,301,2023-06-23 22:46:00,12.914393,121.790983,Mahogany,Philippines,verified,1
cap_43,215,2024-11-03 10:38:00,-1.249068,36.75975,Acacia,Kenya,verified,1
cap_44,147,2023-04-23 05:31:00,12.936602,121.879955,Mango,Philippines,verified,0
cap_45,41,2023-04-15 03:21:00,17.198433,-88.477903,Mango,Belize,unverified,1
cap_46,461,2024-06-23 12:50:00,8.470336,-13.192053,Acacia,Sierra Leone,verified,1
