"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30727","I can register a new account by email address","","2026-04-28","passed","2026-04-28","","Registration","",""
"","24503","Admin can verify all trees","","2026-07-30","passed","2026-07-30","","Admin","",""
"","37082","I can reset my password by email address","","2026-05-04","passed","2026-05-04","","Forgot Password","",""
"","24021","I can update my account details","","2026-05-18","passed","2026-05-18","","Update Account","",""
"","42455","Organization shares the Treetracker app deeplink","","2026-07-02","passed","2026-07-02","","Share organization via link","",""
"","35603","Login with valid credentials succeeds","","2026-03-16","passed","2026-03-16","","Login","",""
"    As an organization on Greenstand, I can share the Treetracker app with people
    through a deeplink that carries my organization info (name + DB id) into the
    mobile app, plus a QR code planters can scan.","45164","Organization shares the Treetracker app deeplink","","2026-08-19","passed","2026-08-19","","Organization Features","",""
"","47529","Admin can log in","","2026-06-27","passed","2026-06-27","","Admin","",""
"","25103","I can change my password","","2026-05-17","passed","2026-05-17","","Change Password","",""
"","45643","Apply for an organization","","2026-08-19","passed","2026-08-19","","Organization Features","",""
"","47226","Login with wrong credentials shows an error message","","2026-03-16","passed","2026-03-16","","Login","",""
